record_id,enumerator_id,region,age,income,education,employment_status
HH-SOUTH-6044,E-1156,Scotland,18,27520,PhD,employed
HH-YORKSHIRE-7945,E-1109,Yorkshire,85,45944,Master,employed
HH-WEST-2236,E-1135,West Midlands,44,3792,GCSE,student
HH-SOUTH-4155,E-1082,North East,17,23002,PhD,retired
HH-EAST-8841,E-1134,South East,33,5933,GCSE,student
HH-NORTH-6935,E-1137,West Midlands,47,4671,Degree,unemployed
HH-EAST-3311,E-1054,Scotland,56,2471,Degree,student
HH-SOUTH-9597,E-1167,West Midlands,58,2485,A-level,unemployed
HH-NORTH-3309,E-1104,North East,68,9408,Master,unemployed
HH-WALES-2882,E-1079,London,52,37747,PhD,retired
HH-EAST-2275,E-1073,London,39,38163,A-level,retired
HH-SOUTH-7369,E-1171,Yorkshire,70,6210,PhD,student
HH-YORKSHIRE-5370,E-1075,South West,37,6228,A-level,student
HH-EAST-4578,E-1109,North West,25,8101,Degree,unemployed
HH-SOUTH-6587,E-1018,Yorkshire,54,1511,Master,unemployed
HH-SOUTH-4774,E-1135,North West,39,5506,No formal qualification,student
HH-YORKSHIRE-4411,E-1198,Scotland,71,58270,Degree,employed
HH-WALES-5477,E-1033,West Midlands,42,3225,No formal qualification,student
HH-NORTH-7316,E-1191,North East,49,58694,GCSE,employed
HH-WEST-7524,E-1133,Yorkshire,26,4790,Degree,unemployed
HH-SOUTH-4085,E-1067,Wales,51,5252,No formal qualification,unemployed
HH-EAST-8145,E-1166,South East,21,1660,No formal qualification,student
HH-WALES-1974,E-1168,South East,36,3724,A-level,unemployed
HH-SCOTLAND-1072,E-1012,East Midlands,45,22652,A-level,employed
HH-WEST-8419,E-1010,Scotland,54,4297,GCSE,student
HH-YORKSHIRE-4215,E-1033,Scotland,73,4432,No formal qualification,student
HH-SOUTH-7278,E-1188,West Midlands,52,66166,Master,employed
HH-NORTH-9937,E-1187,Wales,37,10472,A-level,retired
HH-WALES-3925,E-1081,Yorkshire,81,6535,A-level,unemployed
HH-YORKSHIRE-6486,E-1182,Yorkshire,20,3337,GCSE,unemployed
HH-SCOTLAND-5559,E-1175,London,61,64599,No formal qualification,employed
HH-NORTH-1709,E-1105,North East,27,6578,Master,student
HH-NORTH-5334,E-1126,South East,70,6721,A-level,student
HH-WALES-7946,E-1186,North East,48,37667,Degree,retired
HH-SOUTH-7839,E-1117,South West,19,56688,No formal qualification,employed
HH-SCOTLAND-3767,E-1188,East Midlands,57,646,Degree,student
HH-WEST-4050,E-1186,Yorkshire,57,8691,GCSE,unemployed
HH-WEST-5827,E-1063,East Midlands,83,17584,Master,retired
HH-NORTH-8492,E-1105,South East,76,33564,PhD,retired
HH-YORKSHIRE-4691,E-1033,East Midlands,38,1874,GCSE,unemployed
HH-WALES-1062,E-1064,Scotland,79,50581,GCSE,employed
HH-LONDON-6618,E-1178,South East,21,751,PhD,student
HH-LONDON-6362,E-1167,South East,43,110066,A-level,employed
HH-WEST-8958,E-1073,West Midlands,48,632,PhD,student
HH-NORTH-8171,E-1114,South West,29,3568,GCSE,student
HH-LONDON-5637,E-1001,South West,58,4994,PhD,unemployed
HH-WEST-9630,E-1189,South West,61,38549,Degree,retired
HH-NORTH-1721,E-1027,South West,53,500,Master,student
HH-SCOTLAND-8561,E-1057,West Midlands,29,15532,A-level,retired
HH-EAST-8986,E-1068,South West,66,118245,PhD,employed
HH-NORTH-5402,E-1169,North West,66,8725,No formal qualification,student
HH-NORTH-1637,E-1156,Wales,34,4734,Master,unemployed
HH-NORTH-9917,E-1129,Scotland,74,19945,Degree,retired
HH-NORTH-1241,E-1084,West Midlands,37,9591,A-level,student
HH-YORKSHIRE-9288,E-1039,Scotland,18,1975,No formal qualification,student
HH-SCOTLAND-7483,E-1126,North West,31,3369,Degree,unemployed
HH-NORTH-2856,E-1056,London,48,4435,PhD,unemployed
HH-NORTH-1427,E-1160,South East,64,35335,PhD,employed
HH-NORTH-4949,E-1142,North West,35,15759,Degree,retired
HH-NORTH-2813,E-1171,Yorkshire,72,4896,Master,student
HH-YORKSHIRE-6387,E-1113,Yorkshire,79,67961,No formal qualification,employed
HH-NORTH-8845,E-1066,Scotland,43,8721,PhD,student
HH-SOUTH-3540,E-1092,Wales,71,34551,PhD,retired
HH-NORTH-2124,E-1185,North West,82,82048,Master,employed
HH-SOUTH-9302,E-1117,Wales,20,4528,No formal qualification,unemployed
HH-NORTH-8809,E-1091,North West,23,27626,Master,retired
HH-SOUTH-1708,E-1179,Yorkshire,72,5045,A-level,unemployed
HH-SOUTH-9934,E-1057,North West,65,31256,Degree,retired
HH-WEST-8410,E-1182,Wales,45,81211,GCSE,employed
HH-SOUTH-4201,E-1068,South East,29,107116,No formal qualification,employed
HH-SOUTH-3696,E-1096,London,59,7291,GCSE,student
HH-SOUTH-7628,E-1101,Yorkshire,33,4500,Master,student
HH-SOUTH-7674,E-1168,East Midlands,82,3551,No formal qualification,unemployed
HH-SOUTH-1096,E-1010,South East,38,60742,A-level,employed
HH-SOUTH-5047,E-1190,Scotland,64,6790,Degree,unemployed
HH-YORKSHIRE-3028,E-1143,North East,39,117618,No formal qualification,employed
HH-NORTH-3827,E-1158,North East,59,15079,A-level,retired
HH-SCOTLAND-5492,E-1065,Yorkshire,40,28234,A-level,retired
HH-WALES-4049,E-1097,London,33,6673,A-level,student
HH-SOUTH-3381,E-1040,Scotland,27,4151,Master,student
HH-SCOTLAND-4679,E-1082,North West,76,8825,A-level,unemployed
HH-WEST-8285,E-1091,Scotland,81,115448,Master,employed
HH-YORKSHIRE-8203,E-1106,West Midlands,67,6688,Degree,unemployed
HH-SOUTH-7131,E-1042,London,74,36079,PhD,retired
HH-SOUTH-5843,E-1170,Yorkshire,70,469,GCSE,student
HH-SOUTH-5976,E-1171,London,24,1415,A-level,unemployed
HH-NORTH-4610,E-1022,North East,33,50022,No formal qualification,employed
HH-EAST-4403,E-1122,London,76,5356,GCSE,student
HH-SOUTH-6717,E-1134,London,25,5696,No formal qualification,student
HH-NORTH-5315,E-1193,West Midlands,68,3855,Degree,unemployed
HH-SOUTH-2815,E-1141,Wales,57,25837,Degree,retired
HH-LONDON-7997,E-1073,East Midlands,33,511,Master,unemployed
HH-NORTH-5657,E-1165,Yorkshire,18,1609,Master,unemployed
HH-NORTH-3685,E-1063,South West,70,91248,GCSE,employed
HH-NORTH-1310,E-1076,Yorkshire,25,33592,Degree,retired
HH-NORTH-2305,E-1189,North West,19,104116,PhD,employed
HH-WALES-5432,E-1147,West Midlands,52,25,PhD,student
HH-SOUTH-3111,E-1139,North East,47,39582,Master,retired
HH-NORTH-6510,E-1012,South East,44,637,GCSE,unemployed
HH-NORTH-5314,E-1170,South West,30,105876,Master,employed
HH-EAST-5051,E-1009,South West,19,9204,A-level,unemployed
HH-NORTH-8232,E-1056,Wales,66,5171,Master,student
HH-EAST-8793,E-1196,Scotland,36,6886,No formal qualification,unemployed
HH-SCOTLAND-6408,E-1144,London,33,3225,A-level,student
HH-NORTH-4716,E-1005,North East,31,8834,No formal qualification,unemployed
HH-YORKSHIRE-5254,E-1156,South West,34,83775,A-level,employed
HH-WALES-9630,E-1137,East Midlands,76,66773,No formal qualification,employed
HH-NORTH-6774,E-1051,Yorkshire,63,2303,Master,student
HH-SOUTH-4857,E-1121,South West,36,114043,GCSE,employed
HH-EAST-3958,E-1179,West Midlands,25,2797,PhD,student
HH-WEST-3101,E-1198,West Midlands,53,12332,PhD,retired
HH-LONDON-5160,E-1161,South West,75,1799,No formal qualification,student
HH-SCOTLAND-8039,E-1108,South East,21,95222,Master,employed
HH-NORTH-1592,E-1049,North East,47,8415,Master,student
HH-YORKSHIRE-4595,E-1148,Scotland,76,77991,PhD,employed
HH-WEST-6194,E-1063,North West,29,15822,No formal qualification,retired
HH-WALES-3144,E-1126,Yorkshire,25,6841,Master,unemployed
HH-LONDON-1461,E-1139,South West,46,4194,PhD,student
HH-NORTH-5450,E-1107,East Midlands,76,109455,A-level,employed
HH-LONDON-9886,E-1197,North West,57,1964,Degree,student
HH-LONDON-3244,E-1034,Yorkshire,31,9299,Master,student
HH-YORKSHIRE-8520,E-1140,West Midlands,47,3258,GCSE,student
HH-NORTH-4784,E-1064,Yorkshire,25,763,PhD,unemployed
HH-YORKSHIRE-6333,E-1180,West Midlands,33,12974,Master,retired
HH-SCOTLAND-5470,E-1007,East Midlands,34,37678,A-level,retired
HH-WEST-5358,E-1164,South West,71,38002,Master,retired
HH-EAST-5678,E-1071,West Midlands,27,6856,A-level,unemployed
HH-LONDON-6869,E-1184,West Midlands,53,8689,No formal qualification,student
HH-WEST-3957,E-1027,North East,50,5013,A-level,student
HH-SOUTH-8078,E-1060,London,49,15500,Master,retired
HH-NORTH-7546,E-1194,South West,46,8658,Master,student
HH-NORTH-4503,E-1113,North West,69,11017,No formal qualification,retired
HH-LONDON-5967,E-1039,East Midlands,44,25050,No formal qualification,retired
HH-WEST-5691,E-1166,East Midlands,70,581,Degree,unemployed
HH-SCOTLAND-4016,E-1092,Scotland,39,2575,No formal qualification,unemployed
HH-WALES-4467,E-1154,South East,24,39175,Master,retired
HH-SCOTLAND-5668,E-1093,South East,60,32540,Degree,retired
HH-NORTH-5933,E-1151,North West,28,8210,Master,unemployed
HH-NORTH-6918,E-1082,West Midlands,33,98468,A-level,employed
HH-EAST-2652,E-1037,Yorkshire,61,7069,No formal qualification,student
HH-SCOTLAND-4772,E-1021,Scotland,35,6960,No formal qualification,student
HH-SOUTH-4475,E-1063,East Midlands,43,4732,A-level,student
HH-WEST-5382,E-1013,North East,27,16692,Degree,retired
HH-SOUTH-8471,E-1095,North West,42,9841,PhD,student
HH-SOUTH-5265,E-1099,South West,36,92243,A-level,employed
HH-NORTH-1264,E-1183,South East,35,17862,PhD,retired
HH-SOUTH-5734,E-1007,Wales,23,4549,GCSE,student
HH-WEST-1263,E-1096,North West,79,2909,Master,student
HH-NORTH-1072,E-1011,Yorkshire,41,3332,Degree,unemployed
HH-SOUTH-1080,E-1155,Yorkshire,39,5608,PhD,student
HH-NORTH-9425,E-1053,West Midlands,16,3986,Degree,student
HH-NORTH-7628,E-1137,North East,39,9372,No formal qualification,unemployed
HH-NORTH-1070,E-1148,East Midlands,55,6046,GCSE,student
HH-NORTH-6703,E-1029,Yorkshire,84,7343,A-level,student
HH-NORTH-5119,E-1125,London,35,21400,PhD,employed
HH-LONDON-7800,E-1052,East Midlands,67,31546,GCSE,employed
HH-SOUTH-7469,E-1187,South West,85,1501,No formal qualification,unemployed
HH-SOUTH-4971,E-1098,North East,55,6140,GCSE,student
HH-WALES-4977,E-1068,West Midlands,51,64625,No formal qualification,employed
HH-SOUTH-3864,E-1149,Wales,73,4753,GCSE,student
HH-EAST-7523,E-1183,Yorkshire,37,6092,A-level,unemployed
HH-EAST-6899,E-1165,Wales,17,31531,Degree,employed
HH-EAST-6140,E-1157,North West,41,33444,Master,retired
HH-NORTH-1519,E-1065,East Midlands,36,13572,PhD,retired
HH-NORTH-7809,E-1150,London,65,25501,No formal qualification,retired
HH-NORTH-6451,E-1051,South West,84,31883,PhD,employed
HH-SCOTLAND-3286,E-1054,Scotland,26,74656,No formal qualification,employed
HH-NORTH-4069,E-1153,South West,64,29077,PhD,retired
HH-WALES-6870,E-1064,South East,64,32366,Master,retired
HH-NORTH-4235,E-1196,Yorkshire,68,1854,Master,student
HH-EAST-6326,E-1064,Wales,20,8700,PhD,student
HH-LONDON-1164,E-1176,North West,42,32106,Degree,retired
HH-NORTH-7518,E-1073,London,46,16103,A-level,retired
HH-SCOTLAND-3362,E-1077,East Midlands,16,34088,A-level,employed
HH-SCOTLAND-8190,E-1016,Wales,40,103684,A-level,employed
HH-WALES-4036,E-1021,Scotland,43,33024,GCSE,retired
HH-SOUTH-5781,E-1165,South East,58,24531,GCSE,retired
HH-EAST-2289,E-1024,South East,67,62350,Degree,employed
HH-YORKSHIRE-7595,E-1003,North West,51,38556,No formal qualification,retired
HH-SCOTLAND-7203,E-1017,Yorkshire,73,10750,GCSE,retired
HH-SOUTH-3630,E-1004,Scotland,68,2653,PhD,student
HH-EAST-9493,E-1159,North West,42,3071,No formal qualification,student
HH-WALES-9842,E-1121,South West,43,38682,No formal qualification,employed
HH-SCOTLAND-1946,E-1018,East Midlands,20,19631,PhD,retired
HH-LONDON-9768,E-1070,Yorkshire,79,21531,A-level,retired
HH-SCOTLAND-9692,E-1171,North West,25,26229,Master,retired
HH-SOUTH-8494,E-1188,West Midlands,79,9992,Master,student
HH-SOUTH-3380,E-1088,Wales,59,39997,No formal qualification,employed
HH-NORTH-6919,E-1161,Yorkshire,65,7464,PhD,student
HH-EAST-6199,E-1172,Wales,51,72648,No formal qualification,employed
HH-LONDON-6836,E-1100,South West,56,111983,A-level,employed
HH-SOUTH-3133,E-1014,Yorkshire,18,7633,No formal qualification,unemployed
HH-NORTH-5109,E-1111,Scotland,62,7591,No formal qualification,student
HH-SOUTH-1122,E-1185,Wales,70,5337,No formal qualification,student
HH-NORTH-3449,E-1089,North West,36,12495,Degree,retired
HH-NORTH-5379,E-1014,Scotland,33,38348,GCSE,retired
HH-LONDON-8615,E-1137,South East,29,7908,Degree,student
HH-LONDON-6344,E-1033,North East,34,9380,A-level,unemployed
HH-SOUTH-8983,E-1058,South East,70,23583,Degree,retired
HH-WALES-3635,E-1027,Wales,53,366,A-level,student
HH-YORKSHIRE-7676,E-1168,Wales,25,2719,Degree,student
HH-EAST-7757,E-1198,South East,84,2108,PhD,unemployed
HH-SOUTH-9177,E-1003,Scotland,57,11881,Master,retired
HH-WEST-1372,E-1166,Wales,62,37932,No formal qualification,retired
HH-NORTH-3142,E-1112,Yorkshire,85,8568,Master,student
HH-LONDON-2105,E-1031,South West,66,32733,A-level,employed
HH-LONDON-4078,E-1005,London,51,1867,No formal qualification,unemployed
HH-LONDON-8887,E-1191,East Midlands,36,2745,No formal qualification,unemployed
HH-NORTH-4336,E-1019,West Midlands,20,2725,A-level,student
HH-SOUTH-5741,E-1109,Yorkshire,78,8585,Degree,unemployed
HH-SCOTLAND-2438,E-1041,East Midlands,33,109049,No formal qualification,employed
HH-WEST-2553,E-1058,South East,54,5918,Master,student
HH-NORTH-6080,E-1187,North West,77,32312,A-level,retired
HH-SOUTH-9924,E-1188,North West,54,16775,Master,retired
HH-WEST-1556,E-1106,North East,66,6396,Master,student
HH-NORTH-3663,E-1026,Yorkshire,32,5386,GCSE,student
HH-YORKSHIRE-2563,E-1196,Yorkshire,26,688,A-level,unemployed
HH-SOUTH-2159,E-1168,East Midlands,30,115000,Master,employed
HH-LONDON-9141,E-1115,Yorkshire,27,25572,PhD,employed
HH-WALES-4450,E-1161,West Midlands,83,118491,A-level,employed
HH-EAST-1457,E-1092,London,46,7388,PhD,unemployed
HH-WEST-3379,E-1084,Yorkshire,45,5437,PhD,student
HH-YORKSHIRE-5605,E-1178,North West,56,8081,Degree,unemployed
HH-EAST-9533,E-1022,London,62,6493,GCSE,student
HH-WEST-6703,E-1043,East Midlands,56,3553,PhD,unemployed
HH-EAST-2042,E-1003,Scotland,20,9963,GCSE,student
HH-NORTH-5760,E-1133,Yorkshire,53,34409,Master,retired
HH-WEST-3670,E-1145,South West,61,116413,GCSE,employed
HH-NORTH-4755,E-1076,North East,59,8963,Master,unemployed
HH-LONDON-5675,E-1153,Wales,62,37615,PhD,employed
HH-WALES-1825,E-1156,Scotland,49,107186,A-level,employed
HH-SCOTLAND-1096,E-1074,London,31,28363,A-level,retired
HH-SCOTLAND-3181,E-1003,Yorkshire,53,4966,A-level,student
HH-SOUTH-5991,E-1003,North East,56,2705,A-level,student
HH-NORTH-2405,E-1109,Wales,81,27707,PhD,retired
HH-NORTH-7894,E-1148,Scotland,21,39378,Degree,retired
HH-EAST-5874,E-1042,South East,33,11963,GCSE,retired
HH-LONDON-7133,E-1141,North East,61,6963,GCSE,unemployed
HH-SCOTLAND-1283,E-1117,Wales,81,14741,PhD,retired
HH-SOUTH-8557,E-1159,North East,66,819,PhD,unemployed
HH-LONDON-2352,E-1098,West Midlands,57,12934,GCSE,retired
HH-EAST-6391,E-1181,South West,64,82541,PhD,employed
HH-LONDON-7404,E-1120,South West,54,3478,GCSE,student
HH-NORTH-5267,E-1141,Wales,73,6529,A-level,student
HH-WALES-1872,E-1047,South East,74,1304,PhD,student
HH-YORKSHIRE-4548,E-1131,London,70,16519,Master,retired
HH-EAST-7037,E-1162,East Midlands,85,2170,PhD,student
HH-LONDON-6586,E-1149,South West,45,1940,Degree,unemployed
HH-NORTH-6473,E-1146,East Midlands,34,116104,GCSE,employed
HH-WEST-9829,E-1177,Scotland,34,49249,No formal qualification,employed
HH-YORKSHIRE-2954,E-1149,North West,63,31153,GCSE,employed
HH-WEST-3069,E-1149,Scotland,78,32696,GCSE,employed
HH-LONDON-1048,E-1178,East Midlands,24,8237,PhD,unemployed
HH-SOUTH-1570,E-1138,South East,68,369,A-level,unemployed
HH-SOUTH-3789,E-1163,West Midlands,50,4218,GCSE,unemployed
HH-LONDON-5764,E-1131,London,46,34467,No formal qualification,employed
HH-EAST-9928,E-1052,West Midlands,70,38204,Master,retired
HH-WEST-9002,E-1060,London,42,2380,PhD,student
HH-WALES-4797,E-1190,South East,39,35763,GCSE,retired
HH-SOUTH-1532,E-1046,Scotland,58,18995,PhD,retired
HH-EAST-2465,E-1021,London,31,11883,No formal qualification,retired
HH-EAST-3453,E-1197,Wales,36,7156,Degree,student
HH-NORTH-7097,E-1103,East Midlands,73,2522,Master,unemployed
HH-WALES-5954,E-1180,West Midlands,82,8286,No formal qualification,unemployed
HH-NORTH-8239,E-1028,East Midlands,57,32183,Master,retired
HH-YORKSHIRE-3164,E-1004,North East,46,49038,GCSE,employed
HH-SCOTLAND-6543,E-1135,Yorkshire,54,35707,No formal qualification,retired
HH-LONDON-1096,E-1092,Wales,35,518,No formal qualification,unemployed
HH-SOUTH-2852,E-1021,North West,78,1299,Master,student
HH-LONDON-8178,E-1164,Wales,34,58152,Degree,employed
HH-WALES-2339,E-1186,South East,43,13176,No formal qualification,retired
HH-NORTH-6765,E-1181,Scotland,30,7020,Master,student
HH-SOUTH-4178,E-1127,South East,29,5529,No formal qualification,unemployed
HH-SCOTLAND-2184,E-1132,North East,47,5404,Master,unemployed
HH-SCOTLAND-8757,E-1178,North West,21,2041,GCSE,student
HH-NORTH-4560,E-1162,London,76,2243,Degree,unemployed
HH-SCOTLAND-4435,E-1014,North East,83,7174,PhD,student
HH-WALES-8968,E-1095,South East,29,30433,PhD,employed
HH-WEST-6347,E-1123,Wales,83,8430,PhD,student
HH-LONDON-4455,E-1058,North West,67,9477,A-level,unemployed
HH-SOUTH-2024,E-1155,Scotland,82,3250,Master,unemployed
HH-SOUTH-5069,E-1153,West Midlands,72,30120,GCSE,retired
HH-EAST-8816,E-1160,North East,38,7357,Degree,student
HH-EAST-6657,E-1055,East Midlands,64,36891,Degree,retired
HH-SOUTH-4971,E-1189,Scotland,40,9728,PhD,unemployed
HH-NORTH-3294,E-1125,North West,16,1470,PhD,employed
HH-SOUTH-7640,E-1195,South West,71,43206,Degree,employed
HH-NORTH-2999,E-1100,Wales,23,8413,Degree,unemployed
HH-SOUTH-2888,E-1075,Wales,73,23997,No formal qualification,retired
HH-NORTH-7643,E-1023,Yorkshire,38,34996,A-level,retired
HH-EAST-4641,E-1042,London,84,36250,GCSE,retired
HH-WEST-8413,E-1113,Scotland,17,11478,PhD,retired
HH-SOUTH-6744,E-1044,South East,60,14145,Master,retired
HH-NORTH-2035,E-1188,North East,82,4495,Degree,student
HH-YORKSHIRE-4988,E-1162,Scotland,58,18278,PhD,retired
HH-SOUTH-6848,E-1046,South West,20,13835,A-level,retired
HH-EAST-3772,E-1109,North East,21,6520,Master,student
HH-NORTH-6989,E-1190,North West,42,4636,GCSE,unemployed
HH-NORTH-4964,E-1175,London,47,2890,Degree,student
HH-NORTH-7645,E-1132,London,52,29696,A-level,employed
HH-WEST-7270,E-1004,South East,70,36140,PhD,retired
HH-NORTH-3238,E-1057,East Midlands,78,6979,PhD,student
HH-NORTH-1785,E-1102,South East,57,20890,PhD,employed
HH-SOUTH-8464,E-1147,London,62,98545,PhD,employed
HH-NORTH-3161,E-1138,Scotland,26,5978,A-level,student
HH-NORTH-5395,E-1110,West Midlands,72,37767,No formal qualification,retired
HH-SOUTH-3165,E-1184,London,66,28331,No formal qualification,retired
HH-NORTH-3863,E-1110,West Midlands,38,8388,A-level,unemployed
HH-NORTH-8549,E-1191,North West,52,2684,No formal qualification,unemployed
HH-SCOTLAND-9189,E-1060,East Midlands,59,32354,PhD,retired
HH-WALES-9526,E-1108,Yorkshire,50,98610,GCSE,employed
HH-SOUTH-6392,E-1151,West Midlands,65,9067,Master,student
HH-SOUTH-5772,E-1193,Yorkshire,17,32814,Degree,retired
HH-SOUTH-9371,E-1033,South East,20,6598,Master,student
HH-LONDON-2117,E-1075,West Midlands,71,63184,GCSE,employed
HH-SOUTH-3658,E-1007,East Midlands,33,28312,PhD,retired
HH-YORKSHIRE-4808,E-1017,London,77,9393,A-level,student
HH-LONDON-2445,E-1158,North West,74,6098,PhD,student
HH-LONDON-1229,E-1168,Yorkshire,68,847,A-level,unemployed
HH-EAST-6598,E-1058,London,55,8335,GCSE,unemployed
HH-SOUTH-5952,E-1023,London,61,81878,GCSE,employed
HH-WEST-5064,E-1096,North East,78,59182,Degree,employed
HH-SOUTH-6494,E-1018,North East,61,3626,No formal qualification,unemployed
HH-WEST-1392,E-1101,East Midlands,23,25349,No formal qualification,retired
HH-NORTH-3512,E-1086,South West,70,8597,Degree,student
HH-WALES-1069,E-1026,Wales,31,78176,No formal qualification,employed
HH-WEST-4088,E-1172,Wales,81,7515,PhD,unemployed
HH-NORTH-9235,E-1134,South West,31,2604,A-level,student
HH-SOUTH-4686,E-1045,Scotland,64,7183,Master,unemployed
HH-YORKSHIRE-6792,E-1029,London,60,3591,No formal qualification,unemployed
HH-WEST-8102,E-1119,North East,28,8110,No formal qualification,unemployed
HH-YORKSHIRE-4225,E-1062,East Midlands,44,6684,A-level,student
HH-NORTH-2282,E-1061,London,63,76636,Master,employed
HH-WEST-3452,E-1045,North East,38,143,PhD,unemployed
HH-LONDON-2784,E-1157,East Midlands,27,7042,A-level,unemployed
HH-WEST-3077,E-1104,Scotland,34,7777,A-level,student
HH-LONDON-7641,E-1145,Scotland,39,112574,PhD,employed
HH-SOUTH-2202,E-1127,West Midlands,49,113864,A-level,employed
HH-YORKSHIRE-2557,E-1074,South West,66,4987,A-level,unemployed
HH-SOUTH-8780,E-1012,North East,44,3105,No formal qualification,student
HH-WEST-1870,E-1076,Yorkshire,52,16741,No formal qualification,retired
HH-LONDON-1721,E-1197,North West,48,11900,Degree,retired
HH-SCOTLAND-7416,E-1150,Scotland,58,69948,No formal qualification,employed
HH-EAST-2525,E-1175,West Midlands,63,76897,GCSE,employed
HH-YORKSHIRE-7302,E-1156,South West,22,66250,A-level,employed
HH-NORTH-5737,E-1115,South East,61,45674,PhD,employed
HH-SOUTH-2809,E-1045,Wales,74,50290,PhD,employed
HH-WEST-1851,E-1069,South East,65,31384,GCSE,retired
HH-YORKSHIRE-5027,E-1193,South West,17,9748,No formal qualification,student
HH-NORTH-7200,E-1057,London,28,84360,Master,employed
HH-EAST-4906,E-1176,Yorkshire,44,6553,No formal qualification,student
HH-WALES-4518,E-1148,North East,19,1113,Degree,unemployed
HH-NORTH-9340,E-1091,East Midlands,30,74662,Master,employed
HH-EAST-9503,E-1006,South West,59,29588,A-level,retired
HH-LONDON-5735,E-1097,North West,32,6820,Master,student
HH-LONDON-9045,E-1177,North East,59,4750,PhD,student
HH-NORTH-2264,E-1021,Yorkshire,43,26092,GCSE,retired
HH-EAST-4695,E-1068,East Midlands,43,116460,Degree,employed
HH-EAST-4979,E-1061,Yorkshire,16,7315,A-level,unemployed
HH-LONDON-8490,E-1198,Yorkshire,47,119467,A-level,employed
HH-EAST-7420,E-1102,West Midlands,34,90253,GCSE,employed
HH-SCOTLAND-3133,E-1018,Scotland,67,2611,No formal qualification,unemployed
HH-WEST-7170,E-1052,Scotland,30,94031,Master,employed
HH-EAST-4282,E-1110,East Midlands,84,3193,PhD,student
HH-SOUTH-3961,E-1072,Wales,25,20345,PhD,retired
HH-EAST-8771,E-1181,East Midlands,29,3400,PhD,unemployed
HH-SOUTH-1737,E-1016,South West,43,8110,GCSE,student
HH-WEST-6216,E-1102,East Midlands,72,726,GCSE,student
HH-SOUTH-4336,E-1141,North West,32,2045,A-level,unemployed
HH-SOUTH-4578,E-1038,South West,59,592,PhD,student
HH-YORKSHIRE-4054,E-1159,West Midlands,84,7218,A-level,unemployed
HH-LONDON-8025,E-1069,North West,84,27221,A-level,employed
HH-SOUTH-5091,E-1175,Wales,40,3284,Degree,student
